osm_id,lat,lon,category,name,shop,amenity,cuisine,llm_category
45273747,51.5938205,0.2343688,independent_fresh_food,Williams Bakery,bakery,,,independent_fresh_food
247956786,51.5064173,-0.0892636,independent_fresh_food,Bread Ahead,bakery,,coffee_shop;bakery,independent_fresh_food
249315771,51.5051095,-0.0580509,independent_fresh_food,Hussey's Butchers,butcher,,,independent_fresh_food
263018280,51.5606161,-0.073687,independent_fresh_food,The Royal Bakery,bakery,,,independent_fresh_food
264523233,51.5050408,-0.0833755,independent_fresh_food,Ole & Steen,bakery,,,independent_fresh_food
275402055,51.4895905,-0.1347848,independent_fresh_food,Tachbrook Bakery & Patisserie,bakery,,,independent_fresh_food
278080079,51.3844848,-0.1743124,independent_fresh_food,Fudgecakes,bakery,,,independent_fresh_food
278080085,51.3846548,-0.1748059,independent_fresh_food,E. Thompson Pick'n'Pay,greengrocer,,,independent_fresh_food
288562211,51.4961103,-0.262872,independent_fresh_food,Boulangerie Jade,bakery,,,independent_fresh_food
300066382,51.539291,-0.098331,independent_fresh_food,Sourdough Sophia,bakery,,,independent_fresh_food
300425783,51.4939793,-0.1758776,independent_fresh_food,D. Mckay Fruiterer,greengrocer,,,independent_fresh_food
304693168,51.5418728,-0.2975628,independent_fresh_food,Ambala,bakery,,,independent_fresh_food
305808467,51.5509718,-0.2984635,independent_fresh_food,Shafiq & Sons,butcher,,,independent_fresh_food
308064702,51.3988569,-0.0421353,independent_fresh_food,Roy Flint Craft Bakers,bakery,,,independent_fresh_food
312559592,51.554592,0.0091763,independent_fresh_food,Cascais Delicatessen,deli,,brazilian;portuguese,independent_fresh_food
314718112,51.5785504,0.1809341,independent_fresh_food,Meat Express,butcher,,,independent_fresh_food
332043741,51.5464427,-0.1033474,independent_fresh_food,Harvest,health_food,,,independent_fresh_food
338507316,51.5175583,-0.1191529,independent_fresh_food,Fabrique,bakery,,,independent_fresh_food
348069407,51.5430054,-0.1028988,independent_fresh_food,Belle Epoque,bakery,,,independent_fresh_food
349098329,51.5390905,-0.1025559,independent_fresh_food,Copains,bakery,,,independent_fresh_food
352936236,51.5394316,-0.1013854,independent_fresh_food,A. Ferrari,deli,,,independent_fresh_food
354718236,51.5428616,-0.103334,independent_fresh_food,Euphorium,bakery,,,independent_fresh_food
356954428,51.5252824,0.0285163,independent_fresh_food,The Capital Halal Butchers,butcher,,,independent_fresh_food
362315125,51.5497989,-0.1088695,independent_fresh_food,Provisions,deli,,,independent_fresh_food
369879711,51.5615716,-0.0735342,independent_fresh_food,Harvest,health_food,,,independent_fresh_food
369883666,51.5397858,-0.1066811,independent_fresh_food,The Barnsbury Grocer,deli,,,independent_fresh_food
369975046,51.5601675,-0.0737729,independent_fresh_food,Gozde Bakery,bakery,,,independent_fresh_food
374237735,51.562252,-0.0763418,independent_fresh_food,GAIL's,bakery,,,chain_supermarket
374317943,51.5620794,-0.0755571,independent_fresh_food,Stoke Newington Green Fruit & Vegetabes,greengrocer,,,independent_fresh_food
376498092,51.4966444,-0.1927592,independent_fresh_food,The Garden Basket,greengrocer,,,independent_fresh_food
379822545,51.4746973,-0.1323514,independent_fresh_food,M Hallaway Butchers,butcher,,,independent_fresh_food
379822553,51.4738456,-0.1332539,independent_fresh_food,Delicias de Portugal,deli,,,independent_fresh_food
390356900,51.5367854,-0.0963779,independent_fresh_food,Ferretti,butcher,,,independent_fresh_food
390924597,51.5385488,-0.1425325,independent_fresh_food,Martin's Butchers,butcher,,,independent_fresh_food
391097329,51.500713,-0.1923738,independent_fresh_food,Aux Merveilleux de Fred,bakery,,,independent_fresh_food
392374817,51.507759,-0.216008,independent_fresh_food,La Martins Bakery,bakery,,,independent_fresh_food
392375067,51.5077745,-0.2159247,independent_fresh_food,Nile Butchers,butcher,,,independent_fresh_food
393523278,51.5647419,-0.1041033,independent_fresh_food,The Happening Bagel Bakery,bakery,,,independent_fresh_food
410936536,51.5569386,-0.2158313,independent_fresh_food,Cricklewood Halal,butcher,,,independent_fresh_food
410949899,51.5561463,-0.214823,independent_fresh_food,Bagel Delight Bakery,bakery,,,independent_fresh_food
410952441,51.5556705,-0.2138155,independent_fresh_food,Al Rahma Halal Meat & Poultry,butcher,,,independent_fresh_food
410961399,51.5547622,-0.2127755,independent_fresh_food,Broadway Bagel Bakery,bakery,,,independent_fresh_food
415822145,51.4876065,-0.1418649,independent_fresh_food,Star Meat,butcher,,,independent_fresh_food
420729624,51.4027562,0.0151199,independent_fresh_food,GAIL's,bakery,,,chain_supermarket
420752300,51.4065201,0.0130815,independent_fresh_food,Polo Market,deli,,,independent_fresh_food
420777391,51.405931,0.0159339,independent_fresh_food,Bromley Health Store,health_food,,,independent_fresh_food
420777407,51.4051221,0.015244,independent_fresh_food,Grape Tree,health_food,,,other
420783193,51.4014078,0.0165499,independent_fresh_food,Rithi Home Bakery,bakery,,,independent_fresh_food
420783204,51.4007179,0.0171095,independent_fresh_food,Greggs,bakery,fast_food,sandwich;bakery,fast_food
423749758,51.4254515,-0.2188135,independent_fresh_food,Bayley and Sage,deli,,,independent_fresh_food
429640130,51.5204266,0.0123526,independent_fresh_food,Novilho de Ouro,butcher,,,independent_fresh_food
430435466,51.529372,-0.1203346,independent_fresh_food,Aux Pains de Papy,bakery,cafe,,independent_fresh_food
439237930,51.4942799,-0.0922783,independent_fresh_food,La Reina,butcher,,,independent_fresh_food
441205302,51.4579388,-0.1661051,independent_fresh_food,Hennessy's,butcher,,,independent_fresh_food
443465639,51.5319861,-0.0350403,independent_fresh_food,The Eggfree Cake Box,bakery,,,"chain_supermarket

Wait, let me reconsider.

fast_food"
443655162,51.4901857,-0.1572384,independent_fresh_food,The Chelsea Cake Shop,bakery,,,independent_fresh_food
456389163,51.4090435,-0.0252675,independent_fresh_food,Deli Nene,deli,,,independent_fresh_food
457132847,51.5386704,-0.0986598,independent_fresh_food,Unknown,deli,,,independent_fresh_food
458259762,51.386575,-0.4066392,independent_fresh_food,Unknown,butcher,,,independent_fresh_food
459786534,51.5978573,-0.1102145,independent_fresh_food,Neo's,bakery,,,independent_fresh_food
469446867,51.5200085,0.0171998,independent_fresh_food,Albina,deli,,,independent_fresh_food
474842089,51.4718121,-0.0937604,independent_fresh_food,Spice & Nice Ltd.,bakery,,west_indian,independent_fresh_food
480015008,51.2880894,-0.2315391,independent_fresh_food,The Artisan Bakery,bakery,,,independent_fresh_food
510163159,51.4902644,-0.0967243,independent_fresh_food,G Baldwin & Co,health_food,,,other
512381558,51.5873698,-0.1198006,independent_fresh_food,Intrepid Bakers,bakery,,,independent_fresh_food
534997721,51.4945661,-0.1744973,independent_fresh_food,Philippe Conticini,bakery,,,independent_fresh_food
548222278,51.538621,-0.0987046,independent_fresh_food,James Elliot Master Butcher,butcher,,,independent_fresh_food
552391227,51.3962662,0.1747936,independent_fresh_food,Holland & Barrett,health_food,,,other
557198726,51.4342275,0.1775494,independent_fresh_food,Dennis of Bexley,butcher,,,independent_fresh_food
564160740,51.4237265,0.1713913,independent_fresh_food,Gray & Sons Butchers,butcher,,,independent_fresh_food
581427090,51.5719566,-0.1297166,independent_fresh_food,Tarn Bakery,bakery,,,independent_fresh_food
581965969,51.5555856,-0.0546417,independent_fresh_food,Palm Deli,deli,,,independent_fresh_food
582235622,51.6184491,-0.3674893,independent_fresh_food,Oxhey Lane Farm Shop,farm,,,independent_fresh_food
583286335,51.4748058,-0.1751343,independent_fresh_food,GAIL's,bakery,,bakery,"chain_supermarket

Wait, let me reconsider. GAIL's is a chain"
588475202,51.494929,-0.0884135,independent_fresh_food,Unknown,greengrocer,,,independent_fresh_food
597341493,51.505904,-0.09052,independent_fresh_food,A. Sugarman,greengrocer,,,independent_fresh_food
618594710,51.5394065,-0.0976061,independent_fresh_food,Raabs The Bakers,bakery,,,independent_fresh_food
631449196,51.5485422,-0.1281059,independent_fresh_food,H&A Pattisserie Francaise,bakery,,,independent_fresh_food
631449733,51.5484382,-0.127908,independent_fresh_food,Cramers Butchers,butcher,,,independent_fresh_food
639632231,51.56328,-0.0730211,independent_fresh_food,Fresh Bake Bagel,bakery,,bagel,independent_fresh_food
642716218,51.56184,-0.0737943,independent_fresh_food,Cake Show,bakery,,,independent_fresh_food
644694269,51.5142789,-0.166595,independent_fresh_food,Abasto,deli,,argentinian,independent_fresh_food
648387395,51.5143308,-0.2492713,independent_fresh_food,Greggs,bakery,fast_food,sandwich;bakery,fast_food
654772944,51.5323156,-0.1270713,independent_fresh_food,Holland & Barrett,health_food,,,other
658958405,51.554557,-0.0749119,independent_fresh_food,Pak Butchers,butcher,,,independent_fresh_food
660897086,51.5592937,-0.0743869,independent_fresh_food,Gallo Nero IA 2,deli,,,independent_fresh_food
661170685,51.5788762,-0.1239983,independent_fresh_food,Broadway Fruiterers,greengrocer,,,independent_fresh_food
661171865,51.5789935,-0.123981,independent_fresh_food,Wenzels,bakery,,,independent_fresh_food
661174811,51.579304,-0.123977,independent_fresh_food,Greggs,bakery,fast_food,sandwich;bakery,fast_food
667387832,51.5499835,-0.0872422,independent_fresh_food,Stella's,butcher,,,independent_fresh_food
667387911,51.557026,-0.0837017,independent_fresh_food,Mother Earth,health_food,,,independent_fresh_food
670483444,51.5119972,-0.1297571,independent_fresh_food,唐人餅家 Chinatown Bakery,bakery,,,independent_fresh_food
678240182,51.4773102,-0.286063,independent_fresh_food,GAIL's,bakery,cafe,,fast_food
